PS C:\Users\Buddy\magic_beans_project\magic_beans_new> docker compose -f docker-compose.local.yml logs -f django
magicbeans_local_django  | wait-for-it: waiting 30 seconds for postgres:5432
magicbeans_local_django  | INFO:     172.18.0.1:38626 - "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:38638 - "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:38648 - "GET /static/admin/css/login.css HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:38656 - "GET /static/admin/css/responsive.css HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:38668 - "GET /static/admin/js/theme.js HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:38614 - "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:38626 - "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:38626 - "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:38614 - "GET /static/debug_toolbar/css/print.css HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:38626 - "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 200 OK
magicbeans_local_django  | Not Found: /favicon.ico
magicbeans_local_django  | WARNING 2025-05-17 10:51:29,408 log 23 139779583645376 Not Found: /favicon.ico
magicbeans_local_django  | INFO:     172.18.0.1:38626 - "GET /favicon.ico HTTP/1.1" 404 Not Found
magicbeans_local_django  | INFO:     172.18.0.1:38626 - "POST /admin/login/?next=/admin/ HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:38626 - "GET /static/admin/css/base.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:38656 - "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:38638 - "GET /static/admin/css/responsive.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:38648 - "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:38668 - "GET /static/admin/js/theme.js HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:38614 - "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:38626 - "GET /static/admin/css/login.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:38638 - "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:38638 - "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:38626 - "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:38614 - "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:37368 - "POST /admin/login/?next=/admin/ HTTP/1.1" 302 Found
magicbeans_local_django  | INFO:     172.18.0.1:37368 - "GET /admin/ HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:37368 - "GET /static/admin/css/base.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:37384 - "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:37392 - "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:37398 - "GET /static/admin/js/theme.js HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:37426 - "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:37412 - "GET /static/admin/css/responsive.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:37368 - "GET /static/admin/css/dashboard.css HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:37392 - "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:37426 - "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:37412 - "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:37412 - "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:37426 - "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:37426 - "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:44044 - "GET /admin/users/user/add/ HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:44044 - "GET /static/admin/css/base.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:44060 - "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:44084 - "GET /static/admin/js/theme.js HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:44098 - "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:44108 - "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:44070 - "GET /static/admin/css/forms.css HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:44060 - "GET /static/admin/css/unusable_password_field.css HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:44098 - "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:44084 - "GET /static/admin/css/responsive.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:44070 - "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:44108 - "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:44044 - "GET /admin/jsi18n/ HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:44060 - "GET /static/admin/js/core.js HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:44098 - "GET /static/admin/js/actions.js HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:44084 - "GET /static/admin/js/urlify.js HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:44060 - "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:44070 - "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:44108 - "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:44044 - "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:44084 - "GET /static/admin/css/widgets.css HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:44070 - "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:44084 - "GET /static/admin/js/change_form.js HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:44084 - "GET /static/admin/js/unusable_password_field.js HTTP/1.1" 200 OK
magicbeans_local_django  | INFO:     172.18.0.1:44084 - "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 Not Modified
magicbeans_local_django  | INFO:     172.18.0.1:44084 - "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 Not Modified
magicbeans_local_django  | WARNING:  WatchFiles detected changes in 'catalog/models.py'. Reloading...
magicbeans_local_django  | INFO:     Shutting down
magicbeans_local_django  | INFO:     Finished server process [23]
magicbeans_local_django  | INFO:     Started server process [356]
magicbeans_local_django  | INFO:     Waiting for application startup.
magicbeans_local_django  | INFO:     ASGI 'lifespan' protocol appears unsupported.
magicbeans_local_django  | INFO:     Application startup complete.
magicbeans_local_django  | WARNING:  WatchFiles detected changes in 'config/settings/local.py'. Reloading...
magicbeans_local_django  | INFO:     Shutting down
magicbeans_local_django  | INFO:     Finished server process [356]
magicbeans_local_django  | Process SpawnProcess-3:
magicbeans_local_django  | Traceback (most recent call last):
magicbeans_local_django  |   File "/usr/local/lib/python3.12/multiprocessing/process.py", line 314, in _bootstrap
magicbeans_local_django  |     self.run()
magicbeans_local_django  |   File "/usr/local/lib/python3.12/multiprocessing/process.py", line 108, in run
magicbeans_local_django  |     self._target(*self._args, **self._kwargs)
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/_subprocess.py", line 80, in subprocess_started
magicbeans_local_django  |     target(sockets=sockets)
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/server.py", line 66, in run
magicbeans_local_django  |     return asyncio.run(self.serve(sockets=sockets))
magicbeans_local_django  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/asyncio/runners.py", line 195, in run
magicbeans_local_django  |     return runner.run(main)
magicbeans_local_django  |            ^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/asyncio/runners.py", line 118, in run
magicbeans_local_django  |     return self._loop.run_until_complete(task)
magicbeans_local_django  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "uvloop/loop.pyx", line 1518, in uvloop.loop.Loop.run_until_complete
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/server.py", line 70, in serve
magicbeans_local_django  |     await self._serve(sockets)
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/server.py", line 77, in _serve
magicbeans_local_django  |     config.load()
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/config.py", line 435, in load
magicbeans_local_django  |     self.loaded_app = import_from_string(self.app)
magicbeans_local_django  |                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/importer.py", line 19, in import_from_string
magicbeans_local_django  |     module = importlib.import_module(module_str)
magicbeans_local_django  |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/importlib/__init__.py", line 90, in import_module
magicbeans_local_django  |     return _bootstrap._gcd_import(name[level:], package, level)
magicbeans_local_django  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 1387, in _gcd_import
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 1360, in _find_and_load
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 1331, in _find_and_load_unlocked
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 935, in _load_unlocked
magicbeans_local_django  |   File "<frozen importlib._bootstrap_external>", line 999, in exec_module
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 488, in _call_with_frames_removed
magicbeans_local_django  |   File "/app/config/asgi.py", line 26, in <module>
magicbeans_local_django  |     django_application = get_asgi_application()
magicbeans_local_django  |                          ^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/django/core/asgi.py", line 12, in get_asgi_application
magicbeans_local_django  |     django.setup(set_prefix=False)
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/django/__init__.py", line 19, in setup
magicbeans_local_django  |     configure_logging(settings.LOGGING_CONFIG, settings.LOGGING)
magicbeans_local_django  |                       ^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/django/conf/__init__.py", line 81, in __getattr__
magicbeans_local_django  |     self._setup(name)
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/django/conf/__init__.py", line 68, in _setup
magicbeans_local_django  |     self._wrapped = Settings(settings_module)
magicbeans_local_django  |                     ^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/django/conf/__init__.py", line 166, in __init__
magicbeans_local_django  |     mod = importlib.import_module(self.SETTINGS_MODULE)
magicbeans_local_django  |           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/importlib/__init__.py", line 90, in import_module
magicbeans_local_django  |     return _bootstrap._gcd_import(name[level:], package, level)
magicbeans_local_django  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 1387, in _gcd_import
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 1360, in _find_and_load
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 1331, in _find_and_load_unlocked
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 935, in _load_unlocked
magicbeans_local_django  |   File "<frozen importlib._bootstrap_external>", line 995, in exec_module
magicbeans_local_django  |   File "<frozen importlib._bootstrap_external>", line 1133, in get_code
magicbeans_local_django  |   File "<frozen importlib._bootstrap_external>", line 1063, in source_to_code
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 488, in _call_with_frames_removed
magicbeans_local_django  |   File "/app/config/settings/local.py", line 17
magicbeans_local_django  |     'catalog',
magicbeans_local_django  | IndentationError: unexpected indent
magicbeans_local_django  | WARNING:  WatchFiles detected changes in 'config/settings/local (1).py'. Reloading...
magicbeans_local_django  | Process SpawnProcess-4:
magicbeans_local_django  | Traceback (most recent call last):
magicbeans_local_django  |   File "/usr/local/lib/python3.12/multiprocessing/process.py", line 314, in _bootstrap
magicbeans_local_django  |     self.run()
magicbeans_local_django  |   File "/usr/local/lib/python3.12/multiprocessing/process.py", line 108, in run
magicbeans_local_django  |     self._target(*self._args, **self._kwargs)
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/_subprocess.py", line 80, in subprocess_started
magicbeans_local_django  |     target(sockets=sockets)
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/server.py", line 66, in run
magicbeans_local_django  |     return asyncio.run(self.serve(sockets=sockets))
magicbeans_local_django  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/asyncio/runners.py", line 195, in run
magicbeans_local_django  |     return runner.run(main)
magicbeans_local_django  |            ^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/asyncio/runners.py", line 118, in run
magicbeans_local_django  |     return self._loop.run_until_complete(task)
magicbeans_local_django  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "uvloop/loop.pyx", line 1518, in uvloop.loop.Loop.run_until_complete
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/server.py", line 70, in serve
magicbeans_local_django  |     await self._serve(sockets)
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/server.py", line 77, in _serve
magicbeans_local_django  |     config.load()
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/config.py", line 435, in load
magicbeans_local_django  |     self.loaded_app = import_from_string(self.app)
magicbeans_local_django  |                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/importer.py", line 19, in import_from_string
magicbeans_local_django  |     module = importlib.import_module(module_str)
magicbeans_local_django  |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/importlib/__init__.py", line 90, in import_module
magicbeans_local_django  |     return _bootstrap._gcd_import(name[level:], package, level)
magicbeans_local_django  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 1387, in _gcd_import
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 1360, in _find_and_load
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 1331, in _find_and_load_unlocked
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 935, in _load_unlocked
magicbeans_local_django  |   File "<frozen importlib._bootstrap_external>", line 999, in exec_module
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 488, in _call_with_frames_removed
magicbeans_local_django  |   File "/app/config/asgi.py", line 26, in <module>
magicbeans_local_django  |     django_application = get_asgi_application()
magicbeans_local_django  |                          ^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/django/core/asgi.py", line 12, in get_asgi_application
magicbeans_local_django  |     django.setup(set_prefix=False)
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/django/__init__.py", line 19, in setup
magicbeans_local_django  |     configure_logging(settings.LOGGING_CONFIG, settings.LOGGING)
magicbeans_local_django  |                       ^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/django/conf/__init__.py", line 81, in __getattr__
magicbeans_local_django  |     self._setup(name)
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/django/conf/__init__.py", line 68, in _setup
magicbeans_local_django  |     self._wrapped = Settings(settings_module)
magicbeans_local_django  |                     ^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/django/conf/__init__.py", line 166, in __init__
magicbeans_local_django  |     mod = importlib.import_module(self.SETTINGS_MODULE)
magicbeans_local_django  |           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/importlib/__init__.py", line 90, in import_module
magicbeans_local_django  |     return _bootstrap._gcd_import(name[level:], package, level)
magicbeans_local_django  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 1387, in _gcd_import
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 1360, in _find_and_load
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 1331, in _find_and_load_unlocked
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 935, in _load_unlocked
magicbeans_local_django  |   File "<frozen importlib._bootstrap_external>", line 995, in exec_module
magicbeans_local_django  |   File "<frozen importlib._bootstrap_external>", line 1133, in get_code
magicbeans_local_django  |   File "<frozen importlib._bootstrap_external>", line 1063, in source_to_code
magicbeans_local_django  |   File "<frozen importlib._bootstrap>", line 488, in _call_with_frames_removed
magicbeans_local_django  |   File "/app/config/settings/local.py", line 17
magicbeans_local_django  |     'catalog',
magicbeans_local_django  | IndentationError: unexpected indent
magicbeans_local_django  | WARNING:  WatchFiles detected changes in 'config/settings/local.py'. Reloading...
magicbeans_local_django  | Process SpawnProcess-5:
magicbeans_local_django  | Traceback (most recent call last):
magicbeans_local_django  |   File "/usr/local/lib/python3.12/multiprocessing/process.py", line 314, in _bootstrap
magicbeans_local_django  |     self.run()
magicbeans_local_django  |   File "/usr/local/lib/python3.12/multiprocessing/process.py", line 108, in run
magicbeans_local_django  |     self._target(*self._args, **self._kwargs)
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/_subprocess.py", line 80, in subprocess_started
magicbeans_local_django  |     target(sockets=sockets)
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/server.py", line 66, in run
magicbeans_local_django  |     return asyncio.run(self.serve(sockets=sockets))
magicbeans_local_django  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/asyncio/runners.py", line 195, in run
magicbeans_local_django  |     return runner.run(main)
magicbeans_local_django  |            ^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/asyncio/runners.py", line 118, in run
magicbeans_local_django  |     return self._loop.run_until_complete(task)
magicbeans_local_django  |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "uvloop/loop.pyx", line 1518, in uvloop.loop.Loop.run_until_complete
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/server.py", line 70, in serve
magicbeans_local_django  |     await self._serve(sockets)
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/server.py", line 77, in _serve
magicbeans_local_django  |     config.load()
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/config.py", line 435, in load
magicbeans_local_django  |     self.loaded_app = import_from_string(self.app)
magicbeans_local_django  |                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
magicbeans_local_django  |   File "/usr/local/lib/python3.12/site-packages/uvicorn/importer.py", line 22, in import_from_string
magicbeans_local_django  |     raise exc from None
